,credit_reporting,debt_collection,mortgages_and_loans,credit_card,retail_banking
creditor,0.049033232686843176,0.05784629087924703,0.00433223696499574,0.006182637463810443,0.0015969400021262647
name,0.04764943106228608,0.05631266924864562,0.02328685458429846,0.02727963003923595,0.03632048665992959
due,0.04707416819381226,0.05255529625367216,0.10390450972333097,0.08288982668479318,0.03985751079687041
request,0.04707190337936945,0.05629349897826311,0.05433022924364917,0.03215418688231254,0.026976407969802357
claim,0.04690204229615868,0.04287430971050074,0.018271490433205587,0.0422163455033422,0.0641019635564237
act,0.046840892306202794,0.045404785400993075,0.01738083093740806,0.0080720872493149,0.005252744800382259
experian,0.04636754608765544,0.0032110202890717077,0.0002248266688420943,0.0005366484597882482,0.00022436347137311157
made,0.0427098707625168,0.0464687354072228,0.07829156383447392,0.08158174606405932,0.06002382751793597
card,0.04180620979983548,0.043861578635200404,0.01061873651300353,0.41952493343946307,0.10459297121364172
law,0.040571885928503866,0.051040844893453265,0.01655934887817733,0.008250970069244317,0.007786732241772696
investigation,0.04004418416332906,0.011713035203718289,0.004859714918817577,0.020694506230584324,0.020931792093985588
reporting agency,0.03939644723268532,0.022438801482736918,0.0025336236142589857,0.0025938008889765333,0.0007786732241772696
fair,0.038789476962012154,0.03697945156787656,0.005966553903886349,0.006998790329738404,0.002718757358991823
still,0.038762299188698425,0.043698631336949005,0.064931671397511,0.051786576369565955,0.0507325402328377
complaint,0.03847466775446152,0.0409285272666752,0.04655641480945522,0.036179050330724404,0.0427874337759781
fcra,0.03777710490607594,0.0209531055280918,0.0025509179734006853,0.0037341788660265607,0.00019796776885862787
score,0.03705915872770508,0.01646726225858267,0.019845277115100247,0.026463477173307992,0.0021116562011586973
need,0.03700480318107763,0.032301905594542255,0.04974722407109879,0.03602252786328616,0.04768383659241483
equifax,0.036959506892221425,0.0024442094737710013,2.5941538712549343e-05,0.0002795044061397126,1.3197851257241858e-05
response,0.0368236180256528,0.025525215014322263,0.03566961572975535,0.024417504920365294,0.02671245094465752
get,0.03649521993144531,0.04345900295716753,0.09679652811609245,0.07888732358887249,0.08358199201211268
proof,0.03622344219830807,0.059015677372580615,0.018288784792347287,0.01891685820753575,0.013079070595926681
address,0.035965253351827695,0.04887460434022877,0.023641388946703302,0.03071194414663162,0.02922004268353347
copy,0.0357682144953032,0.043756142148096554,0.023200382788589963,0.016848525602101875,0.013936930927647402
charge,0.03566403303093393,0.041963721867331154,0.027921742834273944,0.15344791897070223,0.04994066915740319
month,0.03500497202807613,0.04047802591268604,0.12185605451241512,0.08028484561957105,0.04254987245334775
paid,0.03417831475645036,0.06948264500143525,0.09167739781014937,0.05948971780277643,0.02379572581680707
one,0.03370043890901739,0.043775312418479075,0.07348373199308143,0.12584406382034422,0.07793331167401317
listed,0.03223736877896193,0.018192586593009256,0.008785534443983377,0.007568979318263417,0.0056750760406139985
amount,0.03160322073497504,0.08314146264897908,0.09121045011332349,0.06482266187192215,0.05540457957790132
deleted,0.031374474476251205,0.012844081156286831,0.0013749015517651151,0.0015428643218912137,0.00149135719206833
year,0.03134956151738029,0.053341277339355384,0.06836460168713837,0.047102082522664374,0.03154286450480804
statement,0.03107098934091462,0.02971391909290237,0.05045629279590847,0.06336923895999565,0.020984583499014553
may,0.031016633794287173,0.025189735282628203,0.016386405286760334,0.01352801325716209,0.012564354396894248
must,0.031007574536515932,0.026061982585032756,0.010679266769999479,0.008698177119067856,0.008499416209663756
disputed,0.030744856061149937,0.036164715076619565,0.0033032225960646163,0.017742939701748957,0.0063085729009616075
mine,0.03042325241027087,0.023224782568420144,0.0034069887509148135,0.005332944069145717,0.005081172734038115
told,0.030380220935857478,0.07461069232875872,0.13519000541066548,0.11284151884672478,0.12774200231884394
violation,0.030350778348100942,0.03825427454831399,0.0079035221277567,0.007132952444685466,0.003800981162085655
document,0.03026245058483134,0.03862809482077308,0.05830793184624007,0.021331776276582868,0.020443471597467636
service,0.03019450615154703,0.07036447743903107,0.05619802003095273,0.08027366544332547,0.06689990802295898
back,0.0300563524705356,0.052660732740776005,0.09310418243933959,0.08815568969646535,0.10293004195522924
even,0.029474295158733354,0.041637827270828355,0.051087536904580504,0.04949464023922031,0.046443238574234096
transunion,0.029472030344290544,0.0015911324417489656,0.00012106051399189693,0.00032422511112206666,5.2791405028967434e-05
several,0.029046245229042204,0.029675578552137333,0.031354673123901305,0.026362855587097694,0.02428404631332502
right,0.028844676743632086,0.03951951239356015,0.02215407406051714,0.021287055571600513,0.020984583499014553
immediately,0.028840147114746466,0.023205612298037626,0.01621346169534334,0.021443578039038753,0.024891147471158143
following,0.028156173153017754,0.024854255550934144,0.014518614499456782,0.010408744084642898,0.013013081339640471
block,0.027997636142021033,0.005013025705028367,0.0010808974463562225,0.00261616124146771,0.003919761823400832
see,0.02791836763652267,0.03054782585454189,0.035038371621083315,0.03881757192468329,0.03348294863962259
fair credit,0.02789118986320895,0.015911324417489655,0.0012106051399189694,0.0024708189502750597,0.00021116562011586973
filed,0.027682826934470398,0.022477142023501956,0.01498556219628267,0.020292019885743137,0.02515510449630298
call,0.02762620657340014,0.10766982360341043,0.12195982066726531,0.09555696637104495,0.08686825697516591
well,0.02760355842897204,0.028851256925689076,0.06125662007989985,0.034043636667817,0.06779736190845143
original,0.027363488098034145,0.05887190034471173,0.01926591608385331,0.011124275364360562,0.0070080590175954265
contacted,0.02722986404590834,0.0441874732317032,0.04102221988411136,0.04000267060671567,0.039329596746580736
accurate,0.02717324368483808,0.010112317626778064,0.00434953132413744,0.002325476659082409,0.0015177528945828137
closed,0.02680181411621719,0.017722914968637576,0.020346813530209534,0.06279904997147064,0.059363934955073874
verified,0.026776901157346277,0.01474193792415608,0.0036491097788986077,0.004908097371813354,0.006176594388389189
since,0.026647806734106088,0.0375066340033958,0.06432636882755152,0.05521889047696162,0.04804017857636036
within,0.02622428643330056,0.027605189350825426,0.018894087362306772,0.01883859697381663,0.0241520678007526
open,0.026212962361086507,0.013572551430822501,0.006113555956590795,0.01621125555610333,0.031727634422409424
provide,0.026049895721204166,0.07048908419651743,0.027108907954614063,0.02506595514260943,0.02417846350326708
account number,0.026036306834547305,0.012106025746559902,0.005421781590922813,0.006719285923598692,0.009106517367496882
victim,0.025746410585867584,0.013467114943718656,0.002248266688420943,0.005131700896725123,0.006453749264791269
called,0.025451984708302244,0.07758208423804897,0.1064294861580191,0.11165642016469239,0.10205898377225128
result,0.025313831027290817,0.016658964962407846,0.010359321125878038,0.009972717211064946,0.007403994555312682
issue,0.025159823645179717,0.027298465024705145,0.05219437588964928,0.05331826051521158,0.04873966469299418
correct,0.02510773291299508,0.01840345956721695,0.019533978650549656,0.011716824705376752,0.008222261333261677
state,0.024851808880957515,0.04713969487061092,0.02923611412904311,0.021197614161635805,0.022964261187600834
yet,0.024625327436676482,0.015920909552680915,0.021099118152873464,0.01631187714231363,0.01689324960926958
provided,0.02461173855001962,0.030959986667766018,0.03246151210897008,0.029202620353477173,0.025683018546592655
bank,0.024043270124874234,0.03960577861028148,0.10352403382221358,0.15537090928494346,0.3400558354940937
make,0.02387567385610627,0.026675431237273322,0.0651564980663531,0.05198781954198655,0.038405747158573804
delete,0.02362880908183995,0.009527624380111276,0.0012019579603481196,0.0011850986820323814,0.0010822238030938323
full,0.023624279452954325,0.031228370453121265,0.028751872073075523,0.0304436199167375,0.009621233566529315
incorrect,0.023169051749949456,0.00817612031814378,0.01024690779145699,0.005713070061495726,0.0033918477731111575
inaccurate information,0.023114696203322006,0.0036327662374870963,0.0009166010345100768,0.0006149096935073677,0.00023756132263035343
belong,0.023085253615565474,0.009240070324373512,0.00040641743982993973,0.0008385132184191379,0.001108619505608316
federal,0.023042222141152077,0.021489873098802296,0.016109695540493144,0.006417421164967802,0.011336954229970756
information credit,0.02285197772795601,0.009968540598909182,0.0012106051399189694,0.0019565308429779884,0.000184769917601386
requested,0.022784033294671702,0.03165970153672791,0.04053797782814377,0.02653055823078152,0.021208946970387665
please remove,0.02269797034584491,0.004706301378908085,0.00040641743982993973,0.00032422511112206666,0.00011878066131517672
attached,0.022564346293719104,0.019668697412463118,0.01824554889449304,0.016759084192137168,0.01484758266439709
without,0.02253716852040538,0.030480729908203077,0.02890752130535082,0.03289207851452138,0.03295503458933292
requesting,0.022516785190420087,0.018556821730277093,0.0138268401337888,0.007658420728228125,0.00667811273616438
late payment,0.022290303746139054,0.005453941923826274,0.017571068887966754,0.019006299617500458,0.0006862882653765766
know,0.022274450045039383,0.03746829346263076,0.03879124755483212,0.0323889705834699,0.03955396021795385
said,0.022204240797312265,0.05863227196493026,0.07773814434193953,0.0792674495812225,0.08572004391578586
bankruptcy,0.022143090807356384,0.007581841936285734,0.011924460628201848,0.002660881946450064,0.001029432398064865
credit score,0.022131766735142333,0.011693864933335772,0.01534874373825836,0.02056034411563726,0.0015177528945828137
record,0.02202532045633025,0.030758698828749584,0.017190592986849364,0.011571482414184103,0.009066923813725156
reporting act,0.02189849084753287,0.014607746031478455,0.0010030728302185747,0.001062116743330908,0.00011878066131517672
credit file,0.021794309383163596,0.012499016289401513,0.0012797825764857677,0.0020571524291882848,7.918710754345114e-05
could,0.021782985310949545,0.04600864891804238,0.07291301814140536,0.06988728171117374,0.07191509150071088
show,0.021776190867621115,0.02399159338372085,0.020701347892614377,0.018268407985291616,0.014306470762850174
credit card,0.02166521495992341,0.026378292046344298,0.006277852368436941,0.15149138812772425,0.018582574570196537
like,0.021613124227738773,0.025899035286781356,0.0354361418813424,0.031964123886137535,0.036135716742328204
consumer reporting,0.021484029804498584,0.009930200058144148,0.0004928892355384375,0.00035776563985883217,0.000554309752804158
error,0.020938209523781302,0.007744789234537134,0.02130665046257386,0.01502615687407095,0.015890212913719195
last,0.020822703987197974,0.026876719076289756,0.029858711058144295,0.02541254060622267,0.020549054407525573
victim identity,0.020818174358312354,0.008319897346012664,0.00038912308068824017,0.0018559092567676917,0.0010558281005793486
verify,0.02055772069738917,0.01891147173235367,0.0057763159533276535,0.009324266988820813,0.012049638197861815
regarding,0.02055092625406074,0.023215197433228883,0.02051975712162653,0.014232364360634166,0.014319668614107415
mail,0.020535072552961067,0.0338738677659087,0.020787819688322873,0.02474173003148736,0.017817099197276507
action,0.020469392934119566,0.030404048826673007,0.012797825764857676,0.011985148935270877,0.01136334993248524
personal,0.020430891088591793,0.016927348747763093,0.010852210361416476,0.009782654214889941,0.01839780465259515
negative,0.020390124428621207,0.01555667441541308,0.008906594957975274,0.008575195180366382,0.01278871786826736
phone,0.020247441118724157,0.06721096796110691,0.06186192264985933,0.0624412843316118,0.06606844339375274
fraudulent account,0.02022026334541043,0.005837347331476627,0.0003372400032631415,0.0015875850268735677,0.001108619505608316
receive,0.020145524468797693,0.021959544723173977,0.028665400277367022,0.030723124322877212,0.035568209138266804
asked,0.020018694860000314,0.04853912460853471,0.06251046111767307,0.049673523059149724,0.05263303081388053
fraud,0.01969482639467844,0.027979009623284524,0.008621238032137232,0.05504000765703221,0.05888881230981317
showing,0.019660854178036286,0.016908178477380575,0.014362965267181485,0.011873347172814993,0.007628358026685793
matter,0.019490993094825514,0.03139131775137267,0.016109695540493144,0.01539510269017537,0.015507475227259183
status,0.01940719496044153,0.00695880814885391,0.01540062681568346,0.00889942029148845,0.009515650756471379
verification,0.019278100537201345,0.02503637311956806,0.003700992856323706,0.005120520720479535,0.006216187942160915
notice,0.019212420918359847,0.04979477731858962,0.024229397157521086,0.01681498507336511,0.013950128778904643
alleged,0.01916259500061802,0.04655500162394413,0.0021012646357164966,0.0012521797395059126,0.0009766409930358974
used,0.019047089464034692,0.0216048947210974,0.012529763198161332,0.03431196089771112,0.028177412434211367
person,0.018822872834196473,0.0332220785729031,0.017562421708395906,0.019229903142412227,0.03353574004465156
submitted,0.018766252473126216,0.01276740007475676,0.021505535592703406,0.01226465334141059,0.011534921998829384
pay,0.018693778410956284,0.07234860042362164,0.0970818850419305,0.06865746232415901,0.042972203693579486
help,0.018469561781118065,0.0201383690368348,0.04717036455898556,0.04277535431562162,0.05115487147306944
furnisher,0.01842653030670467,0.0015623770361751891,0.00020753230970039474,0.00034658546361324366,2.6395702514483717e-05
however,0.018417471048933428,0.02011919876645228,0.02877781361178807,0.02900137718105658,0.02458759689224158
past,0.018412941420047808,0.018968982543501222,0.023062027915456366,0.015652246743823907,0.009515650756471379
business,0.018397087718948133,0.027787306919459347,0.0257080648641364,0.029213800529722764,0.05507463329647027
fact,0.01836085068786317,0.018949812273118705,0.015876221692080198,0.015808769211262147,0.012511562991865281
acct,0.01835858587342036,0.003939490563607379,0.0020753230970039474,0.0026944224751868297,0.005265942651639501
security,0.01823402107906579,0.01498156630393755,0.005603372361910658,0.014757832644176827,0.020153118869808317
contact,0.01821137293463769,0.0410914745649266,0.0374509347213504,0.03224362829227725,0.03621490384987166
knowledge,0.01808454332584031,0.013313752780658513,0.0045138277359835855,0.0046621334944104064,0.0035766176907125434
thing,0.017955448902600125,0.009489283839346241,0.015608159125383854,0.013136707088566494,0.014398855721650866
found,0.0177742637471753,0.018978567678692482,0.014769382707011426,0.01824604763280044,0.016655688286639225
compliance,0.017719908200547852,0.003431478398470661,0.002213677970137544,0.0009279546283838459,0.0013989722332676368
court,0.01769046561279132,0.032292320459350994,0.008076465719173696,0.0023142964828368204,0.003431441326882883
police,0.017362067518583824,0.01121460817377283,0.002317444124987741,0.010665888138291434,0.016378533410237144
documentation,0.017054052754361622,0.026416632587109332,0.019257268904282462,0.016378958199787158,0.010611072410822453
collection agency,0.016861543526722745,0.04356443944427138,0.001625669759319759,0.0012745400919970896,0.00039593553771725574
writing,0.016838895382294643,0.01946740957344668,0.010195024714031891,0.008105627778051665,0.005279140502896743
new,0.016807187980095298,0.02293722851268238,0.05512576976416735,0.04379275035397017,0.041612825014083574
account credit,0.016791334278995627,0.016160537932462388,0.0011327805237813214,0.0049304577243045305,0.0017949077709848926
legal,0.01672565466015413,0.03936615023050001,0.010930034977554123,0.005444745831601602,0.008776571086065835
mortgage,0.016655445412427007,0.015355386576396644,0.22872654682854757,0.004818655961848646,0.005529899676784338
social,0.01660335468024237,0.010217754113881912,0.004167940553149594,0.008273330421735494,0.010413104641963825
unknown,0.01658070653581427,0.003757372994973461,0.0015132564248987116,0.002079512781679462,0.0026791638052200972
opened balance,0.016410845452603493,0.00021087297420769425,4.3235897854248905e-05,0.00014534229119265055,3.959355377172557e-05
first,0.016401786194832253,0.028218638003065993,0.03978567320547984,0.03271319569459197,0.030223079379083855
three,0.01637460842151853,0.016227633878801197,0.018063958123505194,0.01594293132620921,0.013105466298441164
send,0.016290810287134548,0.033682165062083526,0.0315103223561766,0.02654173840702711,0.04014786352452973
trying,0.01610056587393848,0.02872665016820271,0.027826623858994596,0.020582704468128436,0.02371653870926362
bill,0.016000914038454828,0.06221711252646106,0.023364679200436108,0.035642401870936154,0.020205910274837285
required,0.01593976404849895,0.014205170353445585,0.01933509352042011,0.008832339234014918,0.00902733025995343
practice,0.01579934555304471,0.025841524475633804,0.01387007603164305,0.010442284613379663,0.006744101992450589
someone,0.01579255110971628,0.017790010914976388,0.02211948534223374,0.025311919020012376,0.029668769626279696
ftc,0.01577896222305942,0.011205023038581572,0.0009684841119351755,0.002660881946450064,0.002151249754930423
data,0.015690634459789816,0.01088871357727003,0.0023087969454168916,0.0026832422989412413,0.002124854052415939
derogatory,0.015686104830904195,0.00843491896830777,0.0014440789883319134,0.0014534229119265057,0.000184769917601386
history,0.015543421521007147,0.013467114943718656,0.013290715000396114,0.012253473165165,0.004460873724947748
demand,0.015523038191021854,0.013083709536068302,0.003787464652032204,0.0018894497855044573,0.0019796776885862787
contract,0.015489065974379698,0.045730679997495874,0.019473448393553708,0.007043511034720758,0.0038669704183718645
stated,0.015362236365582321,0.03292493938197408,0.04126434091209515,0.029426223878388943,0.02764949838392169
possible,0.0153577067366967,0.004715886514099344,0.008050524180461146,0.006663385042370749,0.00774713868800097
able,0.01527390860231272,0.016361825771478822,0.03280739929180407,0.03028709744929926,0.03729712765296549
investigate,0.015251260457884616,0.005866102737050403,0.0032081036207852686,0.006495682398686921,0.007417192406569924
hard,0.01519464009681436,0.004514598675082909,0.008223467771878141,0.00896650134896198,0.005661878189356757
two,0.015153873436843773,0.020176709577599837,0.034675190079107625,0.03726352742654648,0.033760103516024674
certified,0.015013454941389535,0.018374704161643177,0.005058600048947122,0.0026832422989412413,0.0017553142172131672
failed,0.015011190126946725,0.017981713618801562,0.011336452417384063,0.00920128505011934,0.007166433232682329
process,0.014997601240289862,0.013390433862188585,0.049193804578564405,0.019386425609850468,0.020918594242728343
original creditor,0.01468958647606766,0.02961806774098978,0.0004150646194007895,0.0002795044061397126,2.6395702514483717e-05
stating,0.014596729083912437,0.02519932041781946,0.02719537975032256,0.022326811962440244,0.019295258538087594
complete,0.014580875382812766,0.009613890596832606,0.012106051399189693,0.006585123808651629,0.008895351747381012
good,0.014555962423941853,0.01498156630393755,0.015538981688817056,0.018670894330132803,0.011152184312369369
shall,0.014440456887358526,0.01564294063213441,0.001815907709878454,0.0006708105747353103,0.0008974538854924463
anything,0.014367982825188596,0.023368559596289026,0.018911381721448472,0.018894497855044573,0.02025870167986625
current,0.014361188381860165,0.01285366629147809,0.030265128497974234,0.011470860827973805,0.006348166454733333
social security,0.014345334680760493,0.007984417614318605,0.0029832769519431744,0.006484502222441332,0.008090282820689259
financial,0.014277390247476185,0.02785440286579816,0.04125569373252431,0.018111885517853376,0.018595772421453778
updated,0.014272860618590563,0.005789421655520333,0.008431000081578537,0.003913061685955977,0.002336019672531809
transaction,0.014270595804147752,0.014176414947871809,0.00948595598922221,0.05224496359563508,0.10620310906702522
acct opened,0.014225299515291548,6.70959463388118e-05,8.647179570849781e-06,3.354052873676551e-05,2.6395702514483717e-05
take,0.01394446252438307,0.025093883930715613,0.03594632547602254,0.028900755594846284,0.03485552517037575
want,0.013919549565512156,0.02266884472732713,0.03353376237575545,0.029347962644669826,0.030698202024344562
wrong,0.013749688482301382,0.008971686539018264,0.011820694473351651,0.010643527785800256,0.012062836049119058
multiple,0.01373609959564452,0.020262975794321163,0.021116412512015164,0.018726795211360746,0.015929806467490922
balance account,0.013708921822330796,0.002032048660546872,0.0009252482140809265,0.002705602651432418,0.00277154876402079
sent letter,0.013699862564559556,0.01072576627901863,0.004678124147829732,0.005433565655356013,0.0029299229791076922
home,0.013625123687946815,0.02023422038874739,0.07977023154108923,0.017754119877994544,0.010756248774652115
cfpb,0.013541325553562834,0.014099733866341738,0.01303129961327062,0.009693212804925234,0.010201939021847956
xxxxxxxx,0.013464321862507284,0.008942931133444488,0.004487886197271036,0.00358883657483391,0.005067974882780873
removed credit,0.01336693484146644,0.012901591967434385,0.00157378668189466,0.00164348590810151,0.00014517636382966044
concern,0.013346551511481147,0.007514745989946922,0.011543984727084457,0.007636060375736949,0.006493342818562994
give,0.013328432995938664,0.01768457442787254,0.019897160192525347,0.01952058772479753,0.027821070450265835
keep,0.0132265163460122,0.015393727117161679,0.019983631988233844,0.016412498728523926,0.0167744689479544
per,0.013101951551657633,0.013476700078909915,0.017891014532088197,0.010788870076992908,0.008591801168464449
email,0.01307703859278672,0.03139131775137267,0.08164666950796363,0.060596555251089694,0.07707545134229245
account acct,0.013034007118373325,6.70959463388118e-05,2.5941538712549343e-05,1.1180176245588505e-05,7.918710754345114e-05
money,0.012966062685089015,0.03692194075672901,0.05348280564570589,0.06009344732003821,0.20653317432457782
later,0.012877734921819413,0.014396873057270762,0.024367752030654683,0.023590171878191745,0.026791638052200972
soon,0.012782612715221381,0.004073682456285002,0.007064745709384271,0.006618664337388395,0.007720742985486487
got,0.012728257168593934,0.01767498929268128,0.030567779782953976,0.03014175515810661,0.03160885376109425
police report,0.012728257168593934,0.0071888513934441215,0.0008993066753683772,0.006294439226266328,0.008116678523203743
related,0.01270787383860864,0.0064220405781434155,0.004574357992979534,0.0038124400997456803,0.003405045624368399
accuracy,0.012664842364195244,0.004083267591476261,0.0005015364151092873,0.0003018647586308896,0.00014517636382966044
reason,0.01262634051866747,0.008990856809400781,0.017147357088995115,0.028028701847690383,0.029800748138852116
aware,0.012612751632010607,0.011435066283171784,0.0077132841771980045,0.006719285923598692,0.005912637363244352
tried,0.012590103487582504,0.02023422038874739,0.02454934280164253,0.03185232212368165,0.036254497403643386
plaintiff,0.012585573858696884,0.003373967587323108,0.0007263630839513816,4.472070498235402e-05,0.00010558281005793487
pulled,0.012574249786482833,0.002674252718361213,0.004444650299416787,0.002303116306591232,0.0013725765307531532
every,0.012345503527758992,0.014042223055194186,0.02803415616869499,0.02219264984749318,0.016748073245439917
point,0.012345503527758992,0.011818471690822136,0.028665400277367022,0.028330566606321272,0.014042513737705337
day late,0.012309266496674026,0.0011693864933335772,0.00750575186749761,0.007882024253139896,0.0003035505789165627
say,0.012307001682231216,0.023541092029731685,0.022344312011075833,0.021857244560125527,0.02380892366806431
check,0.012295677610017165,0.017080710910823235,0.062164573934839075,0.0337529520854317,0.12190855206314304
nothing,0.012143935042348874,0.01735867983136974,0.021963836109958442,0.023903216813068222,0.027887059706552045
authorized,0.012064666536850512,0.006939637878471392,0.003329164134777166,0.00979383439113553,0.010241532575619681
representative,0.011996722103566204,0.021288585259785858,0.0375374065170589,0.03939894108945389,0.031991591447554264
item credit,0.01197180914469529,0.00581817706109411,0.00016429641184614584,0.0002906845823853011,3.959355377172557e-05
student,0.011955955443595618,0.004227044619345144,0.02012198686136744,0.0007267114559632528,0.0013989722332676368
system,0.011946896185824377,0.029915206931918806,0.01765754068367525,0.019308164376131347,0.01619376349263576
car,0.011910659154739411,0.009958955463717924,0.04622782198576293,0.007032330858475169,0.006849684802508524
another,0.01189707026808255,0.026004471773885204,0.04476644863828932,0.03489333006248172,0.038841276250062784
written,0.011539229586118522,0.018758109569293527,0.010419851382873987,0.007568979318263417,0.0066253213311354125
resolve,0.011539229586118522,0.01733950956098722,0.012832414483141074,0.018972759088763693,0.014398855721650866
done,0.011493933297262315,0.014646086572243491,0.022543197141205378,0.017754119877994544,0.020601845812554538
evidence,0.011416929606206765,0.02039716768699879,0.004410061581133389,0.008250970069244317,0.007298411745254747
already,0.011401075905107092,0.0180200541595666,0.0236932720241284,0.017452255119363654,0.019440434901917256
department,0.011317277770723111,0.014003882514429149,0.02799092027084074,0.0310249890815081,0.035119482195520586
regard,0.011271981481866904,0.009230485189182253,0.006104908777019945,0.005277043187917775,0.004592852237520166
therefore,0.011258392595210043,0.010380701412133313,0.0078689334094733,0.008116807954297254,0.0059918244707878035
way,0.011208566677468217,0.016007175769402245,0.02208489662395034,0.024596387740294712,0.02535307226516161
inquiry credit,0.011206301863025406,0.00038340540765035316,0.0008214820592307292,0.00119627885827797,7.918710754345114e-05
obtain,0.011192712976368544,0.005770251385137815,0.007056098529813422,0.005489466536583956,0.0025471852926476786
signature,0.011188183347482923,0.02316727175727259,0.005326662615643465,0.004438529969498636,0.004196916699802911
past due,0.011129298171969856,0.00589485814262418,0.010765738565707977,0.005690709709004549,0.0006071011578331254
student loan,0.011045500037585873,0.002971391909290237,0.01658529041688988,0.00036894581610442067,0.00025075917388759527
including,0.010975290789858755,0.018125490646670447,0.01029879086888209,0.008586375356611971,0.007786732241772696
id,0.010950377830987842,0.008559525725794135,0.008387764183724288,0.013863418544529747,0.020839407135184892
believe,0.01087110932548948,0.018230927133774295,0.01820231299663879,0.017373993885644538,0.013422214728614969
via,0.010862050067718239,0.020723062283501587,0.022050307905666942,0.02102991151795198,0.028573347971928623
signed,0.010857520438832619,0.018892301461971153,0.019542625830120505,0.0087540780002958,0.008143074225718226
